"County","Sector","2018","Total Usage"
"ALAMEDA","Total","   10417.109747","   10417.109747"
"ALPINE","Total","      18.704208","      18.704208"
"AMADOR","Total","     300.519785","     300.519785"
"BUTTE","Total","    1479.210775","    1479.210775"
"CALAVERAS","Total","     332.445821","     332.445821"
"COLUSA","Total","     301.196236","     301.196236"
"CONTRA COSTA","Total","    9310.466618","    9310.466618"
"DEL NORTE","Total","     205.808598","     205.808598"
"EL DORADO","Total","    1218.617099","    1218.617099"
"FRESNO","Total","    7651.894842","    7651.894842"
"GLENN","Total","     407.460629","     407.460629"
"HUMBOLDT","Total","     800.930280","     800.930280"
"IMPERIAL","Total","    1427.694252","    1427.694252"
"INYO","Total","     211.181204","     211.181204"
"KERN","Total","   15942.395088","   15942.395088"
"KINGS","Total","    1785.840446","    1785.840446"
"LAKE","Total","     442.528296","     442.528296"
"LASSEN","Total","     409.743871","     409.743871"
"LOS ANGELES","Total","   68486.187103","   68486.187103"
"MADERA","Total","    1665.572602","    1665.572602"
"MARIN","Total","    1329.187568","    1329.187568"
"MARIPOSA","Total","     113.072205","     113.072205"
"MENDOCINO","Total","     567.440535","     567.440535"
"MERCED","Total","    3567.716303","    3567.716303"
"MODOC","Total","     148.255375","     148.255375"
"MONO","Total","     199.944413","     199.944413"
"MONTEREY","Total","    2509.195974","    2509.195974"
"NAPA","Total","    1034.602938","    1034.602938"
"NEVADA","Total","     716.439176","     716.439176"
"ORANGE","Total","   20196.974897","   20196.974897"
"PLACER","Total","    2910.116365","    2910.116365"
"PLUMAS","Total","     205.535407","     205.535407"
"RIVERSIDE","Total","   16256.705441","   16256.705441"
"SACRAMENTO","Total","   10896.689665","   10896.689665"
"SAN BENITO","Total","     380.829177","     380.829177"
"SAN BERNARDINO","Total","   15633.655242","   15633.655242"
"SAN DIEGO","Total","   19799.151957","   19799.151957"
"SAN FRANCISCO","Total","    5640.794886","    5640.794886"
"SAN JOAQUIN","Total","    5659.197350","    5659.197350"
"SAN LUIS OBISPO","Total","    1776.457175","    1776.457175"
"SAN MATEO","Total","    4254.640150","    4254.640150"
"SANTA BARBARA","Total","    2832.198787","    2832.198787"
"SANTA CLARA","Total","   16708.080341","   16708.080341"
"SANTA CRUZ","Total","    1212.273866","    1212.273866"
"SHASTA","Total","    1572.740460","    1572.740460"
"SIERRA","Total","      20.956393","      20.956393"
"SISKIYOU","Total","     485.348069","     485.348069"
"SOLANO","Total","    3243.250953","    3243.250953"
"SONOMA","Total","    2927.864981","    2927.864981"
"STANISLAUS","Total","    4815.524702","    4815.524702"
"SUTTER","Total","     637.699908","     637.699908"
"TEHAMA","Total","     508.382649","     508.382649"
"TRINITY","Total","     130.648224","     130.648224"
"TULARE","Total","    4512.913836","    4512.913836"
"TUOLUMNE","Total","     453.811239","     453.811239"
"VENTURA","Total","    5539.425998","    5539.425998"
"YOLO","Total","    1718.062788","    1718.062788"
"YUBA","Total","     504.968731","     504.968731"
